,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
mu0,0.0009867454689624498,0.008706266060205059,0.0038156600158346446,0.0016337787894149917,0.003531752164432195,0.00482672816349607,0.011381111776536027,0.024406414477304024,0.0013699256611576353,0.0006413933979993054,0.02626298353833583,0.01860352596818312,0.01892539222737143,0.0005827377517600891,0.015750309692240526,0.000927059333147813,0.004756040724667866,0.002742389055147304,0.0013619664966258303,0.006551261740104142,0.0055947739862493625,0.007949294264694906,0.012254403338158597,0.00040896509425171864,0.0038126070890284794,0.0026630216690715176,0.014788659034779042,0.0015093865310808795,0.0008003833101744173,0.00010609249763865705,0.0057361130065518235,0.00861873782831994,0.006423681602484311,0.013560010857706252,0.005671184500847682,0.008121118480850443,0.0033374495349582623,0.008195477774187495,0.007151075986016963,0.011010579767111115,0.004111209885626428,0.0008492989924979277,0.005878241113922412,0.02171288093712327,0.00960449916946946,0.003146736317493314,0.002977176245495005,1.831861748382896e-05,0.010244595903844474,0.002346833810386215,0.003645678669261402,0.010421394862940723,0.005139753563699863,0.006532355150098252,0.0022575397412668307,0.005895154340487836,0.0039029343269614213,0.003419021605098474,0.00038363882564998274,0.010107581878053393,0.00733121056309192,0.003560477094577006,0.0061791508675792094,0.0017642911945013114,0.005126633588762319,0.018094324750615638,0.012631371173097006,0.006041898574508357,0.0009743147281677036,0.00437095703906414,0.003073823054721004,0.004081114981436324,0.004941269826142061,0.020394342012047983,0.016850569488118115,0.0023859308562181776,0.008795446526998924,0.00983522469830872,0.0031208869661169506,0.0038438706626514334,0.023035063906886564,0.013560702823158962,0.006295786601218855,0.004857469130222309,0.024166027216999255,0.009756296408843363,0.0033536255120756317,0.007914170722312014,0.007789416595706595,0.010235188240067796,0.012000507890994976,0.010217592686668291,0.0032887418791819442,0.007128174567733943,0.030932590630869717,0.003066537884601043,0.028217792708255196,0.008867805840998206,0.02040182804133323,0.012484084627021486
sigma0,0.008043339879013013,0.011339047138713063,0.0021346367476184035,0.002809876942292541,0.016148735882430276,0.004092018574379251,0.015142302508695887,0.008899329837344887,0.02037341677627156,0.020221683324887586,0.0015852699641223343,0.021699219634652017,0.006554214877873177,0.007912137023607773,0.019303950816669125,0.007778382730665717,0.01086234355738576,2.263889802057447e-05,0.0002960529851620503,0.0010206328439996521,0.012202535891797562,0.011193675743357846,0.015528382078923094,0.01529937042500697,0.01774997248969548,0.0037244140276569966,0.024420076209145384,0.01903460632787672,0.007864615637064535,0.010768507886991524,0.002823494805329615,0.008490477815095016,0.001985690109977302,0.007252544065687318,0.012187569957820265,0.00914878484405217,0.004538393691194686,0.005861519617177831,0.003343179980433677,0.0005866441146506952,0.0014773112551728354,0.0160055295468545,0.0016358412314514581,0.005227100413782585,0.00014159396641736426,0.001446497142224204,0.004652947512258766,0.005250959095614456,0.009366608324419325,0.0023287384140291962,0.0014373267862927252,0.0051459363306428476,0.0028447676820668147,0.004750073328541658,0.00134125441206449,0.007065787202429646,0.0024200691090243685,0.002017914279462369,0.008393390367071414,0.0017682347663705836,0.0005325175579092466,0.00687511240565443,0.0020812086611350367,0.008017810163287953,0.009371473651464858,0.00030838419342595584,0.0032191251702556292,0.0014170746983602342,0.005321405632758341,0.0008590604952572929,0.010788119129615392,0.007071806597937856,0.001538215746503834,0.01785724927648827,0.004766764866694342,0.0020262847534709924,0.003395126528704091,0.0013063316159441167,0.004888451012267619,0.0092806175114601,0.007653835127719104,0.013003915717959683,0.02691274343411055,0.008518394264760292,0.005484699163651664,0.004715738550268803,0.009706526017297093,0.017303228260691,0.002725729646830127,0.02759269416375479,0.019518242228191172,0.016835275382855733,0.00746499880883585,0.01494197210927871,0.0008882441754344738,0.015415896573419602,0.016068284535234824,0.009445077003885133,0.005996051886378293,0.01430618886570386
mu1,0.019977431297680526,0.002951374060789042,0.009600988864391582,0.009938916372286903,0.006789839750522334,0.004952353314065119,0.012704106017028313,0.008155024905595127,0.014253530049012877,0.0005649641661612195,0.010839227398840785,0.009768763147313012,0.006308366264745458,0.000755434738134898,0.011378084727856614,0.0041264544292443,0.007319160014984505,0.0028053147978575246,0.0049845961769616216,0.001870385072301124,0.0014350970383897686,0.007771553106169246,0.022855122245131018,0.00041116704228639193,0.03144271913813073,0.000821662582947723,0.003037341106459617,0.0003165353567861153,0.005494715287844196,0.013307828530822845,0.00488038424187854,0.00026581097945651845,0.0023604110771532814,0.015993106361969243,0.012863678554577021,0.01680474550630521,0.0017188736938342892,0.004836401656583939,0.010052019334084887,0.0013609243733396436,0.015899687169290914,0.008776366219911751,0.0029493260606714526,0.012545429772647589,0.0028682213340077427,0.0027904524614790023,0.0026638013462752684,0.011805663915211307,0.0049996767622772905,0.003802198288622641,0.002849527154031506,0.011154468238541389,0.010764111460460456,0.00040138782137537376,0.009662660261675204,0.007858141192821261,0.01258442052017936,0.006749474189260392,0.010544367339748834,0.007676270263889178,0.0024698744894085024,0.004920488628119693,0.002139024482685651,0.00492212712894512,0.0012518688788494762,0.01045497107714471,0.008429736330635642,0.00022899962415349012,0.0010847717885596102,0.0031230930835289537,0.006817257093136048,0.0009473016659416865,0.023107328258763053,0.009499985738131938,0.0177566688201867,0.00489994073876107,0.016044825685424962,0.0035949874342091825,0.02305880590088393,0.00930607304607931,0.002314331265840632,0.00029026180858720863,0.012387333645302402,0.010998720471037959,0.0005644512931584288,0.007734352671818266,0.007170261629277096,0.014475222772538916,0.007001466667988438,0.008713752732726869,0.011987922322295732,0.008065961951968152,0.004561577720121855,0.0007941556732158417,0.0008638970304073496,0.01223976088202421,0.02586834090670786,0.011282181866785928,0.01924398764441036,0.008062040787668309
sigma1,0.006254930302766918,0.02771928305977041,0.003969465082836271,0.019222682303171014,0.00526970343939221,0.012371549844083849,0.01954579790000129,0.004048803080007794,0.016920112485270585,0.01749070376458601,0.006850143398099536,0.0008693451280494766,0.003933212381121434,0.004950973993132858,0.004009072075240466,0.019274546322901827,0.0007500885734530989,0.0023999043874383783,0.0019868381319621342,0.0008118308683403453,0.007260641144838999,0.00016235513360148698,0.009884824597474876,0.00015601208787036354,0.009923707890314985,0.010175389635026151,0.007228784772109608,0.0099576855294898,0.0019396768895404367,0.0028791668668345155,0.013781077504831582,0.0016199921682926231,0.00013682130163211444,0.0035980594654087027,0.00975756593138989,0.0007707598054742861,0.001050066207371842,0.0065440382015217275,0.003888827002882954,0.006087229549975154,0.0055262771591690395,0.0035147174140623466,0.0005189285725660754,0.003797123606402173,0.0013592549318169594,0.00014323923035818194,0.001526599329215596,0.003375201466451667,0.007202893257418075,0.00011422977251420632,0.006773366904882294,0.009056005128205669,0.010472667008431354,0.0008648000357574769,0.01583355542444376,0.006201235714203158,0.0019355824991306694,0.000930934644264811,0.0022615493094753814,0.008252959990592567,0.001051111271654063,0.012508104525113141,0.012773489674961096,0.004062699070466757,0.003822538737804542,0.009868797030040694,0.0007886599215244541,0.00455774315944191,0.004071296197425458,0.000998822708407027,0.008446923395238636,0.010327399689116843,0.00449733479432796,0.0008552681392693036,0.0014561438541792556,0.003930884263904967,0.003896108242580752,0.010127969589723469,0.007524830167293415,0.014164882431688487,0.01376410880218771,0.0002627790533460555,0.00668998006658279,0.004411508715183677,0.015638455759138296,0.002112940365191244,0.0029740110899084526,0.019855384423098494,0.005552141585349416,0.0018370130741929443,0.011061084521433246,0.019733411393750486,0.04884921983256127,0.009092814806016978,0.004035618352972354,0.023958904996797353,0.0348388978916974,0.022257936412959395,0.00740323568040947,0.010452181698810846
p00,0.010904578254420613,0.009372206721327716,0.010588103650410522,0.006664354076888324,0.0008059202492721849,0.013799657534998148,0.008664493604947275,0.001346833744751825,0.005827637199595547,0.0158300694268604,0.010150666244676736,0.0007944509971875595,0.0042969202563103845,0.00028165224138206567,0.0049271519181160765,0.00022586627477563757,0.0010026983344790861,0.006926740870921649,0.009851014981694693,0.004659432652698184,0.008026258589407313,0.009728819756660026,0.0061002789444506685,0.00975763515464401,0.009129235716191453,0.006735296528399389,0.00037067372850107367,0.003546607676763202,0.003870937625965961,0.0019659396296637156,0.0019629562974905904,0.001375288390170801,0.00033594074067172926,0.005617943079217397,0.006500117048770443,0.0029087987025328155,0.001385695227203001,0.000523470270744346,0.0025647055355230287,0.0042399594502618675,0.0011613458635676623,0.0035534910947974535,0.005655744314000577,0.001839631172851346,0.002623581078141094,0.006930379092183619,0.0018805660084412654,0.0023698649587943934,0.006877243560926538,0.001587873694220499,0.010703187366471878,0.0036777161165715616,0.005636113638916349,0.001557165679241719,0.0008966352366232748,0.006091252725896021,0.0007966761752563757,0.00406985933639876,0.00514671465736457,0.0026640534363265213,0.016870942655127192,0.0022537350343920888,0.004649372300040327,0.005736114380610532,0.004134052405038086,0.009162060914539652,0.00412538970517051,0.001652847931952229,0.002950102455375722,0.0038163658087290112,0.005782745391069387,0.0016765591212371369,0.004434676329898602,0.009956960177066002,0.018561409745391298,0.0009919198245028815,0.0060906423098950006,0.006925565088773386,0.020402292293200792,0.0004812336223160939,0.004720510931839642,0.007289133984100014,0.002972460773451786,0.0022936759128529827,0.008768011424846565,0.007011465013825406,0.0004197835002416284,0.01549516408902813,0.00399107253318231,0.007309814783760811,0.0024511896176360507,0.015692212925382615,0.011881634569530276,0.018358144828858034,0.026876580923479394,0.017777918756285097,0.021351827982747196,0.012431765670737052,0.009536632130512559,0.007223971324077929
p11,0.004849370239328766,0.009575828540450103,0.0159009875458074,0.004964223429282038,0.0004802293586612153,0.0063761885999982755,0.002091906667575829,0.0038959923341291207,0.001789175225132976,0.0027083270348805728,0.010906063544389444,0.0026672610812519364,0.0022114071381741044,0.009125959057471097,0.003557977502234314,0.009132541133082511,0.00928106315676565,0.0009267191322748448,0.006382845504425511,0.011119462732029916,0.003295992208346024,0.009439070957858132,0.011042436312300544,0.0144618510491435,0.000743269189156169,0.00973691705670581,0.00610978820708412,0.005540839456389968,0.0015666483441735767,8.019890338825317e-05,0.00011754579395258856,0.01615336703897686,0.01254792306417982,0.005014092330002088,0.00027210401825930147,0.0006979845488740501,0.011180353682459817,0.0041214765405995935,0.0005370106835536867,0.010939749727243967,0.0008277264541059305,0.010001220505924627,0.004784936328065508,0.009957906221700693,0.0019498018384350828,0.007574545594372786,0.00637439819388205,0.013688233993781964,0.003117574003111459,0.0023298706816302864,0.007516889850857246,0.003256346235092481,0.0036977308999621827,0.0032474757073061218,0.0030940522808490575,0.00430074120843711,0.013611977294721628,0.0013352299070614197,0.007693181052307944,0.0015120812379985642,0.007453928908386514,0.00541442770151815,0.006157481856682609,0.01039851905360881,0.009845082153767674,0.002485239137292352,0.008924176564757389,0.0020244822805986756,0.0128657930963651,0.002605895629969128,0.0066942722127229124,0.018065902500458142,0.014257146885969251,0.004137877784924611,0.007220660324243761,0.004633937645793865,0.01043900979717562,0.008144821145928571,0.006039566522082542,0.016307941284737774,0.015589600964932178,0.017777790263192803,0.006211292346414228,0.010818583527129768,0.003289822606973656,0.0033348815205246417,0.000797451375088468,0.006805927335488587,0.01697431503716089,0.012154222910755373,0.008350106996453353,0.00684523235522454,0.0012031576113381522,0.0029327762614631847,0.014661266697601852,0.009286983114410976,0.030754852251411856,0.009198001978499582,0.01283516486636412,0.03725555115039462
