date,CMIP3+5_c,CMIP3+5_2575,CMIP3+5_7525,CMIP3+5_1090,CMIP3+5_9010,CMIP3+5_ll,CMIP3+5_ur,CMIP3+5_c_2070,CMIP3+5_2575_2070,CMIP3+5_7525_2070,CMIP3+5_1090_2070,CMIP3+5_9010_2070,CMIP3+5_ll_2070,CMIP3+5_ur_2070,CMIP3+5_c_ratio,CMIP3+5_2575_ratio,CMIP3+5_7525_ratio,CMIP3+5_1090_ratio,CMIP3+5_9010_ratio,CMIP3+5_ll_ratio,CMIP3+5_ur_ratio,Basin,Variable,Period,Chart_Title
1949-01,1501979799.854,1501979799.854,1501979799.854,1501979799.854,1501979799.854,1501979799.854,1501979799.854,1504826530.728,1506296610.446,1504179008.004,1503802166.497,1506842023.307,1506653560.321,1504000189.018,1.002,1.003,1.001,1.001,1.003,1.003,1.001,Basin_09163500,total_runoff,2070,Basin 09163500 2070 for total_runoff
1949-02,532480118.103,532480118.103,532480118.103,532480118.103,532480118.103,532480118.103,532480118.103,535718672.107,537064823.598,535280879.714,535763586.070,538010701.689,537653614.289,535512799.640,1.006,1.009,1.005,1.006,1.010,1.010,1.006,Basin_09163500,total_runoff,2070,Basin 09163500 2070 for total_runoff
1949-03,446269262.763,446269262.763,446269262.763,446269262.763,446269262.763,446269262.763,446269262.763,474378479.182,491462622.838,470081626.894,478371821.585,485080381.892,492215016.244,480263073.414,1.063,1.101,1.053,1.072,1.087,1.103,1.076,Basin_09163500,total_runoff,2070,Basin 09163500 2070 for total_runoff
1949-04,538465829.344,538465829.344,538465829.344,538465829.344,538465829.344,538465829.344,538465829.344,695795911.907,822259509.651,661334272.385,766670448.854,700486768.092,716207605.231,780223298.987,1.292,1.527,1.228,1.424,1.301,1.330,1.449,Basin_09163500,total_runoff,2070,Basin 09163500 2070 for total_runoff
1949-05,949601492.157,949601492.157,949601492.157,949601492.157,949601492.157,949601492.157,949601492.157,1266565937.756,1485960726.901,1178160978.719,1579367572.815,1145866567.210,993946608.554,1616297290.303,1.334,1.565,1.241,1.663,1.207,1.047,1.702,Basin_09163500,total_runoff,2070,Basin 09163500 2070 for total_runoff
1949-06,1326274482.449,1326274482.449,1326274482.449,1326274482.449,1326274482.449,1326274482.449,1326274482.449,1019629662.700,1120656644.102,970908433.535,1490506572.539,777075637.476,594195059.437,1593416676.347,0.769,0.845,0.732,1.124,0.586,0.448,1.201,Basin_09163500,total_runoff,2070,Basin 09163500 2070 for total_runoff
1949-07,859259839.086,859259839.086,859259839.086,859259839.086,859259839.086,859259839.086,859259839.086,499393506.630,551972023.395,472571699.950,721401450.674,392360223.274,328127505.267,767575814.620,0.581,0.642,0.550,0.840,0.457,0.382,0.893,Basin_09163500,total_runoff,2070,Basin 09163500 2070 for total_runoff
1949-08,396904545.349,396904545.349,396904545.349,396904545.349,396904545.349,396904545.349,396904545.349,298797433.173,323401253.721,285655742.854,365084772.818,259634396.621,237691408.946,381418215.862,0.753,0.815,0.720,0.920,0.654,0.599,0.961,Basin_09163500,total_runoff,2070,Basin 09163500 2070 for total_runoff
1949-09,286176244.094,286176244.094,286176244.094,286176244.094,286176244.094,286176244.094,286176244.094,244064763.645,259060975.607,235883014.293,274271220.211,221247056.630,213826489.993,283996034.482,0.853,0.905,0.824,0.958,0.773,0.747,0.992,Basin_09163500,total_runoff,2070,Basin 09163500 2070 for total_runoff
1949-10,288155865.766,288155865.766,288155865.766,288155865.766,288155865.766,288155865.766,288155865.766,252285009.752,263640730.736,242439992.953,285858993.386,219304044.882,217628131.824,303784063.315,0.876,0.915,0.841,0.992,0.761,0.755,1.054,Basin_09163500,total_runoff,2070,Basin 09163500 2070 for total_runoff
1949-11,273648364.056,273648364.056,273648364.056,273648364.056,273648364.056,273648364.056,273648364.056,235445265.255,249461985.535,222235717.722,275500367.363,199541007.409,193941176.901,297554965.724,0.860,0.912,0.812,1.007,0.729,0.709,1.087,Basin_09163500,total_runoff,2070,Basin 09163500 2070 for total_runoff
1949-12,260763170.215,260763170.215,260763170.215,260763170.215,260763170.215,260763170.215,260763170.215,230356229.146,244860850.096,217369006.162,265213144.624,197077621.128,191729619.285,285555784.260,0.883,0.939,0.834,1.017,0.756,0.735,1.095,Basin_09163500,total_runoff,2070,Basin 09163500 2070 for total_runoff
1950-01,244393544.850,244393544.850,244393544.850,244393544.850,244393544.850,244393544.850,244393544.850,229917649.106,246561650.933,216457481.434,255294282.443,203776883.674,199060034.779,271512238.174,0.941,1.009,0.886,1.045,0.834,0.815,1.111,Basin_09163500,total_runoff,2070,Basin 09163500 2070 for total_runoff
1950-02,223372641.904,223372641.904,223372641.904,223372641.904,223372641.904,223372641.904,223372641.904,231314520.868,251861057.273,215531666.401,252715010.512,215612781.971,211426393.281,263886948.949,1.036,1.128,0.965,1.131,0.965,0.947,1.181,Basin_09163500,total_runoff,2070,Basin 09163500 2070 for total_runoff
