date,CMIP3+5_c,CMIP3+5_2575,CMIP3+5_7525,CMIP3+5_1090,CMIP3+5_9010,CMIP3+5_ll,CMIP3+5_ur,CMIP3+5_c_2040,CMIP3+5_2575_2040,CMIP3+5_7525_2040,CMIP3+5_1090_2040,CMIP3+5_9010_2040,CMIP3+5_ll_2040,CMIP3+5_ur_2040,CMIP3+5_c_ratio,CMIP3+5_2575_ratio,CMIP3+5_7525_ratio,CMIP3+5_1090_ratio,CMIP3+5_9010_ratio,CMIP3+5_ll_ratio,CMIP3+5_ur_ratio,Basin,Variable,Period,Chart_Title
1949-01,1501979799.854,1501979799.854,1501979799.854,1501979799.854,1501979799.854,1501979799.854,1501979799.854,1503633054.490,1503477468.262,1503067419.358,1503747087.932,1503448445.872,1503403111.001,1503753235.097,1.001,1.001,1.001,1.001,1.001,1.001,1.001,Basin_09163500,total_runoff,2040,Basin 09163500 2040 for total_runoff
1949-02,532480118.103,532480118.103,532480118.103,532480118.103,532480118.103,532480118.103,532480118.103,534500388.402,534602291.990,534213305.508,534832636.814,534531580.944,533945636.711,535073253.976,1.004,1.004,1.003,1.004,1.004,1.003,1.005,Basin_09163500,total_runoff,2040,Basin 09163500 2040 for total_runoff
1949-03,446269262.763,446269262.763,446269262.763,446269262.763,446269262.763,446269262.763,446269262.763,464911227.849,471248429.314,460767267.649,477967286.680,462301267.159,465732250.734,470141279.878,1.042,1.056,1.032,1.071,1.036,1.044,1.053,Basin_09163500,total_runoff,2040,Basin 09163500 2040 for total_runoff
1949-04,538465829.344,538465829.344,538465829.344,538465829.344,538465829.344,538465829.344,538465829.344,625100325.771,703263545.409,617801500.780,769123793.171,611102627.836,610294096.001,701739252.179,1.161,1.306,1.147,1.428,1.135,1.133,1.303,Basin_09163500,total_runoff,2040,Basin 09163500 2040 for total_runoff
1949-05,949601492.157,949601492.157,949601492.157,949601492.157,949601492.157,949601492.157,949601492.157,1208848985.285,1319198222.815,1110354272.375,1507837583.887,1082196807.245,1008714503.432,1494247920.225,1.273,1.389,1.169,1.588,1.140,1.062,1.574,Basin_09163500,total_runoff,2040,Basin 09163500 2040 for total_runoff
1949-06,1326274482.449,1326274482.449,1326274482.449,1326274482.449,1326274482.449,1326274482.449,1326274482.449,1261747268.507,1247621250.979,1055818690.133,1436084095.562,966954193.272,891384644.519,1699520166.669,0.951,0.941,0.796,1.083,0.729,0.672,1.281,Basin_09163500,total_runoff,2040,Basin 09163500 2040 for total_runoff
1949-07,859259839.086,859259839.086,859259839.086,859259839.086,859259839.086,859259839.086,859259839.086,610080693.726,620479875.868,519527463.333,708124201.745,471764308.974,446427965.765,821567134.437,0.710,0.722,0.605,0.824,0.549,0.520,0.956,Basin_09163500,total_runoff,2040,Basin 09163500 2040 for total_runoff
1949-08,396904545.349,396904545.349,396904545.349,396904545.349,396904545.349,396904545.349,396904545.349,324724824.617,334815116.685,299424059.694,363357026.858,283002848.504,274848786.154,390096431.474,0.818,0.844,0.754,0.915,0.713,0.692,0.983,Basin_09163500,total_runoff,2040,Basin 09163500 2040 for total_runoff
1949-09,286176244.094,286176244.094,286176244.094,286176244.094,286176244.094,286176244.094,286176244.094,255438900.458,261834579.192,243848211.166,270561139.263,233358307.534,228315964.293,284270030.397,0.893,0.915,0.852,0.945,0.815,0.798,0.993,Basin_09163500,total_runoff,2040,Basin 09163500 2040 for total_runoff
1949-10,288155865.766,288155865.766,288155865.766,288155865.766,288155865.766,288155865.766,288155865.766,265160183.269,275138052.216,250477530.936,284602234.219,236880566.081,229045412.493,299399607.213,0.920,0.955,0.869,0.988,0.822,0.795,1.039,Basin_09163500,total_runoff,2040,Basin 09163500 2040 for total_runoff
