mu0	sigma0	mu1	sigma1	p00	p11
13.88782053	0.407540291	15.50783786	0.289918813	0.158683541	0.968868103
14.05325337	0.455501233	15.50075032	0.296008468	0.173200147	0.953662022
14.09163361	0.465667569	15.50140285	0.295902648	0.164368853	0.952764431
14.52339026	0.641345384	15.5144156	0.286354076	0.312194259	0.954319166
14.28892762	0.642363804	15.50865323	0.28845725	0.063994786	0.962100122
13.8662954	0.44742197	15.50896197	0.290686115	0.082186721	0.97131161
14.09566024	0.531073578	15.51495519	0.283130699	0.095555579	0.962231427
13.82219175	0.394289002	15.52313565	0.291458423	0.092794922	0.968738143
13.98498834	0.456864943	15.52554021	0.288750952	0.082588192	0.962771445
14.04251566	0.486897313	15.52419548	0.292237413	0.120411285	0.952927946
14.0023968	0.464299814	15.52152339	0.292789484	0.104367059	0.95247067
13.99608365	0.466934626	15.51954385	0.293416198	0.095791943	0.954189009
13.98997196	0.46027351	15.52167296	0.29449571	0.09532062	0.954149286
13.99782455	0.452204456	15.52739391	0.300772668	0.095232906	0.95545626
14.07671331	0.498923078	15.53333334	0.298699258	0.095768427	0.951106159
14.02551359	0.483289518	15.53093622	0.300561863	0.096280074	0.9559466
14.19112914	0.5205559	15.53067773	0.303785909	0.124281741	0.9474695
14.34800211	0.587704891	15.53893198	0.296920864	0.107176405	0.938478137
14.21565337	0.546333138	15.54050359	0.29592551	0.105479601	0.941847521
14.10431984	0.505148628	15.53907593	0.296635832	0.103790323	0.946941817
14.36185689	0.584597352	15.54307684	0.28644687	0.120784298	0.938591138
14.39295712	0.574665424	15.55728108	0.280866019	0.113223255	0.929470774
14.67733762	0.650188421	15.57151335	0.270081889	0.169308784	0.881978989
14.6393013	0.608691346	15.56159506	0.274286267	0.239890983	0.889391965
14.64085145	0.620732967	15.5563016	0.276335577	0.210108604	0.886623877
14.69373007	0.638395139	15.5573737	0.27390042	0.197600692	0.889246259
14.64553808	0.606803304	15.56358226	0.270093136	0.225898805	0.887681067
14.63765122	0.614999188	15.5509257	0.275006535	0.204244297	0.886563562
14.65542132	0.611716024	15.56079196	0.271749432	0.216629829	0.878738197
14.66928627	0.616185948	15.55547409	0.265025858	0.210607203	0.879266843
14.68303691	0.602802886	15.56492295	0.262009385	0.233278489	0.872098248
14.65216302	0.604908593	15.54864952	0.263392024	0.213432827	0.873488505
14.64212786	0.610317146	15.54589747	0.264894432	0.200365556	0.878449626
14.64300739	0.60306724	15.55422802	0.265797138	0.206908177	0.874382854
14.68269622	0.689818411	15.55088381	0.275338709	0.38343022	0.918329809
14.12184875	0.382397725	15.53401393	0.292314971	0.099005192	0.924344633
15.14205233	0.315079634	15.64830872	0.212376084	0.34275706	0.690382884
15.20409579	0.342063181	15.65271274	0.207683154	0.410809465	0.643411534
15.21628905	0.341822683	15.66400541	0.202698055	0.419059756	0.613413619
15.20847292	0.338810086	15.64881622	0.207194695	0.401814297	0.610213237
15.2178812	0.34091036	15.65660659	0.205412704	0.396072512	0.586099365
15.21698581	0.339145813	15.65534529	0.205967352	0.396065718	0.573524018
15.21332063	0.336865085	15.64833868	0.210860219	0.393431173	0.571911846
15.17916618	0.340848885	15.64293876	0.213089358	0.386993014	0.567782823
15.1658973	0.337196032	15.63302353	0.221361337	0.374802401	0.605192145
15.15551832	0.333575987	15.6359498	0.218696675	0.359444113	0.617244266
15.16402878	0.336750956	15.6369771	0.217400556	0.383008929	0.60562572
15.17423614	0.341790084	15.64323302	0.215631552	0.388623741	0.605297513
15.1782965	0.33539422	15.66079168	0.210845753	0.419697421	0.587238613
15.18732762	0.340718443	15.6568681	0.206421436	0.414593906	0.566624178
15.15781799	0.328266523	15.64637938	0.21689347	0.37557177	0.600325652
15.17544731	0.331994339	15.66607308	0.208908139	0.409628063	0.558879002
15.16508541	0.327160853	15.65841131	0.212807482	0.385989553	0.538969916
15.160866	0.325445768	15.66333894	0.210151134	0.360289036	0.536921903
15.1273675	0.313817881	15.65687305	0.214282976	0.30597046	0.577150068
15.18331386	0.337896698	15.68230886	0.202849079	0.380855152	0.504890212
15.11381939	0.308130796	15.66408713	0.21308253	0.340384271	0.630013999
15.12247473	0.317536748	15.66029388	0.215456278	0.320916353	0.623120592
15.07018758	0.295187794	15.65824702	0.219009652	0.233555485	0.646423343
15.17277405	0.339599544	15.68145405	0.205402215	0.330546753	0.536505237
15.17180492	0.336381442	15.67670168	0.208419532	0.366988896	0.53706445
15.16716296	0.334873973	15.67194682	0.210465592	0.346518845	0.541807341
15.17448283	0.336989581	15.676736	0.206016454	0.360231695	0.526638411
15.17165176	0.337870201	15.66981097	0.211632137	0.350118628	0.537060334
14.93814367	0.234164174	15.62120557	0.239876555	0.196077212	0.734656497
15.23355867	0.334682448	15.68898004	0.200387937	0.446148801	0.485525286
15.22432701	0.332640935	15.67709144	0.210930597	0.412706613	0.495700473
15.20097366	0.319870915	15.67583623	0.21453241	0.394788686	0.5354437
15.23146152	0.333293983	15.68558156	0.206248749	0.459934315	0.521425819
15.22606002	0.326770621	15.69043397	0.206242493	0.473453858	0.499841152
15.22467003	0.32445917	15.68864649	0.20546134	0.440184281	0.438736425
15.18961169	0.320077701	15.64982247	0.21166157	0.373911783	0.533210881
15.04339892	0.266376242	15.62561656	0.223853107	0.257193195	0.674871665
15.21038033	0.319199205	15.66627078	0.201906244	0.373803519	0.490173153
15.21798538	0.321390576	15.67628498	0.19707449	0.368213913	0.443981127
15.22299292	0.322233019	15.67663759	0.195932793	0.381801968	0.426019231
15.21473401	0.311886929	15.67818614	0.201388493	0.383446764	0.41088982
15.21857407	0.314896406	15.67603193	0.194504286	0.372051736	0.378429341
15.20371133	0.312251721	15.66634192	0.200765395	0.336519877	0.427349397
15.12990859	0.285020661	15.65918543	0.207435527	0.27299767	0.527415699
15.22449385	0.318175457	15.67902101	0.194489271	0.354244686	0.434630882
15.2281691	0.321167576	15.67656232	0.196039179	0.349881398	0.422036404
15.22317256	0.315058509	15.6797844	0.195627597	0.349881754	0.401585149
15.2223166	0.31426913	15.69395649	0.191222885	0.36490727	0.411057998
15.24467779	0.320616865	15.70498705	0.185953606	0.373502897	0.338801639
14.9856172	0.284470954	15.63008773	0.227376446	0.225773942	0.603455071
15.15268441	0.315800015	15.66210888	0.210882458	0.17417158	0.470647102
15.21338365	0.337547598	15.67649604	0.200281231	0.219988534	0.397051067
15.21929305	0.337254672	15.67767893	0.199965617	0.241867324	0.404275873
15.23067359	0.344568128	15.67843158	0.20096022	0.218690736	0.345267913
15.1889033	0.326013426	15.67421527	0.207115691	0.191180998	0.429961625
15.2307597	0.344147841	15.68418014	0.199132708	0.273727925	0.369204687
15.20747141	0.336073952	15.66703002	0.208965907	0.238272105	0.418083407
15.22969668	0.34163756	15.66852772	0.206698569	0.25086083	0.341320722
15.19348643	0.329780326	15.65397076	0.21788103	0.194731192	0.433562068
15.21364332	0.340860209	15.66258012	0.210923828	0.245334184	0.413191515
15.20051659	0.333029916	15.65738131	0.21602753	0.244902608	0.445390415
15.2266766	0.33813864	15.65362008	0.214184263	0.225179867	0.347860641
15.02756077	0.286587809	15.60177242	0.239130192	0.105027496	0.622206557
15.23351795	0.328221133	15.65048545	0.210748198	0.291087321	0.415607428
15.19019873	0.319679808	15.62337694	0.225551298	0.222781733	0.515069538
15.22760794	0.335642581	15.63574202	0.21769884	0.311313791	0.480088743
15.19846987	0.324165384	15.62902076	0.224628009	0.259246215	0.534685796
15.22375913	0.331971533	15.66001547	0.206945568	0.363457502	0.494452356
15.20121979	0.334605718	15.6309149	0.221976097	0.301262475	0.568054992
15.19776815	0.333077888	15.63438009	0.22027775	0.338236451	0.572873599
14.92759028	0.252925229	15.58742471	0.244053709	0.114234072	0.76748104
15.25758853	0.31460089	15.64555427	0.211623492	0.247167924	0.480144606
15.2818821	0.321406788	15.65567777	0.203917427	0.291375027	0.439620313
15.26365533	0.317961776	15.64354898	0.213699352	0.255757834	0.484081169
15.28314036	0.316343949	15.66218695	0.202268945	0.305920516	0.425518182
15.23336449	0.315709787	15.65500396	0.207927075	0.27206966	0.45829755
15.25096616	0.327628106	15.63778794	0.210647975	0.209987126	0.35613755
15.17613285	0.311395573	15.61797454	0.223652469	0.145397737	0.550498813
15.26645544	0.33125026	15.6386317	0.207306036	0.259275821	0.4145015
15.11005929	0.302448057	15.60517209	0.230113275	0.141781684	0.670927232
15.2542541	0.329745206	15.64092888	0.2113763	0.2963545	0.479781989
15.23025092	0.327391591	15.62093918	0.220661409	0.227217814	0.515522456
15.2222854	0.322758047	15.64562858	0.213328185	0.294285858	0.522526129
15.24748729	0.328800284	15.64851063	0.211694969	0.293401288	0.46843122
15.22324006	0.32759883	15.62055387	0.223367746	0.229010711	0.534071473
15.25118055	0.324445277	15.64429189	0.213579336	0.330934974	0.47782776
15.12870723	0.304057755	15.60248736	0.227144478	0.212334596	0.652597022
15.13345044	0.305140745	15.60142199	0.22578802	0.115182189	0.650284847
15.23810463	0.336316016	15.62031243	0.220220036	0.197642307	0.559146691
15.24668921	0.338592245	15.63050247	0.219791269	0.214072265	0.547801434
15.23824517	0.334345683	15.64007107	0.21745845	0.223448456	0.56887865
15.25097895	0.34323942	15.65466352	0.212209338	0.265258665	0.582360049
15.16191498	0.316528519	15.6452993	0.219408727	0.169819433	0.674521899
15.24524461	0.335797381	15.6624169	0.210716558	0.2468285	0.567788477
15.23945297	0.331759963	15.66867844	0.208577043	0.204603881	0.560025473
15.26389285	0.338763248	15.67783144	0.202968582	0.253589687	0.553569395
15.08263764	0.372381269	15.64176728	0.224602001	0.076037827	0.702851615
15.15606555	0.402101033	15.65277152	0.21805123	0.246032083	0.659260657
15.1766774	0.38751307	15.66856845	0.21104373	0.341430285	0.626261991
15.1779019	0.395733483	15.65273418	0.217748641	0.271064615	0.604918169
15.02113956	0.3600779	15.62988875	0.242964394	0.178679116	0.750476628
15.16227507	0.406176686	15.64810174	0.228704979	0.298848834	0.671575612
14.94882131	0.468698443	15.60739309	0.252737711	0.140711954	0.765189216
15.00392503	0.483705381	15.62030104	0.245197116	0.119061022	0.737262235
14.96964263	0.46708149	15.62951785	0.243178109	0.154764151	0.747026418
14.98687618	0.476104641	15.62005318	0.238941858	0.15278193	0.739889299
15.03087423	0.477430125	15.62231056	0.237218478	0.16582383	0.692321649
15.01869493	0.485275702	15.60873416	0.240072697	0.13054718	0.702302485
15.03250151	0.486054939	15.60998933	0.237444928	0.134836423	0.68270461
15.01503282	0.473727253	15.61719162	0.237410146	0.126549987	0.717046633
14.99650675	0.471807233	15.61989945	0.234255225	0.157446303	0.719197651
15.0395419	0.482254989	15.62084943	0.229598134	0.152541971	0.673823716
14.70848341	0.368685267	15.59004964	0.257509972	0.076700139	0.82695221
15.00604758	0.471621602	15.62381453	0.2385385	0.160117468	0.709673402
15.00706399	0.479633871	15.60907863	0.243375068	0.125852755	0.691786534
15.01401267	0.483567349	15.60724633	0.243770359	0.112252165	0.688880483
15.02500394	0.475500833	15.61984891	0.238715577	0.14086044	0.678406433
15.02944405	0.478320085	15.62469116	0.243473764	0.153793093	0.703566185
15.03063141	0.48047108	15.63590752	0.240329585	0.148734134	0.700933575
15.04444248	0.486312881	15.64178622	0.236100947	0.160312848	0.700303638
15.05048229	0.479326245	15.65054788	0.230027371	0.162616544	0.691372567
15.03936146	0.482401626	15.6480322	0.230330497	0.172337825	0.698170315
15.07474658	0.480914033	15.65102106	0.228119658	0.189835338	0.646234865
15.08607276	0.477178002	15.66085464	0.223560721	0.187482997	0.641587389
15.07880295	0.479260306	15.65822226	0.224192104	0.186892163	0.644117177
15.07958797	0.474212716	15.65700793	0.230008453	0.195410154	0.642106704
15.07241626	0.481300285	15.64236087	0.230409158	0.158237937	0.637907406
15.07668119	0.476898651	15.64562715	0.229903546	0.175272113	0.647205793
15.06580862	0.469821781	15.64849935	0.227087268	0.142010539	0.652828389
15.07644132	0.488371957	15.64362783	0.228541892	0.160895907	0.654247206
15.07385698	0.472806553	15.6416188	0.229096964	0.174560425	0.62797728
15.08023775	0.478820997	15.62805034	0.233137651	0.162100336	0.608419022
15.07475084	0.48169799	15.62221583	0.236284437	0.143039137	0.627502787
15.07493291	0.481455786	15.62086237	0.235708962	0.157613929	0.618559644
15.06036115	0.479122028	15.61602843	0.239883671	0.137567073	0.638530377
15.0768192	0.47912149	15.63081148	0.233483202	0.170663186	0.620003611
15.06264285	0.474466017	15.63421414	0.234896868	0.169503985	0.651618651
15.08519362	0.482635417	15.63336959	0.233658171	0.168414486	0.621381425
14.92750073	0.425674285	15.62516191	0.247326771	0.139041078	0.730647383
15.05101926	0.475978577	15.62853396	0.236235686	0.190201433	0.662253534
15.07611188	0.474549179	15.63000617	0.237638903	0.203720682	0.616660368
15.06022652	0.475379865	15.62014329	0.239570589	0.171100811	0.629637646
15.08813948	0.479430921	15.62141386	0.23808867	0.159218723	0.577553766
14.98153302	0.45028477	15.61012993	0.243033484	0.131765378	0.703787507
15.0515674	0.481614008	15.60937567	0.237997748	0.181336848	0.661855039
15.06727876	0.486870595	15.60571558	0.239807999	0.161349071	0.62637841
15.03034564	0.478680555	15.60053779	0.243583465	0.135537558	0.664764257
15.07287045	0.478292723	15.59286803	0.238482652	0.129913887	0.596433148
15.02714899	0.462220258	15.60646229	0.23860861	0.105872031	0.639345169
15.04316588	0.474302044	15.6054432	0.23640511	0.127736836	0.637495602
15.04242272	0.4757414	15.59584881	0.243232182	0.107790809	0.626751951
15.05958252	0.47031238	15.59528574	0.245522822	0.135272483	0.598135276
15.04879578	0.4704324	15.58415805	0.24622457	0.101591177	0.59438625
15.05764051	0.467949787	15.58127617	0.239993608	0.097408872	0.514005083
15.04478125	0.469388572	15.57984258	0.241654958	0.075572931	0.533979251
15.08398039	0.472213615	15.57361085	0.236454761	0.06907862	0.447758174
15.05142194	0.46288897	15.57315252	0.236647047	0.058254684	0.525471209
15.0522581	0.473802716	15.57619992	0.233736385	0.080986223	0.527413183
15.12189366	0.48234668	15.57414606	0.230976547	0.067928376	0.386959781
14.85693936	0.397458528	15.54807236	0.253889113	0.047182316	0.64025896
15.12441982	0.445163808	15.58343226	0.226944916	0.123646594	0.481359739
15.13174027	0.448976322	15.58144473	0.226166878	0.023328959	0.418774406
15.1744587	0.461966109	15.58680205	0.221989297	0.030425039	0.35807984
15.08220746	0.442807234	15.59355194	0.232329191	0.035941025	0.559038682
15.14563085	0.447099563	15.58657102	0.218954885	0.037015436	0.410159574
14.88641841	0.380771151	15.56885034	0.240084432	0.021159093	0.668297405
15.21636345	0.366874427	15.60376457	0.215541685	0.117964933	0.407373497
15.17884362	0.354337038	15.60676496	0.215039363	0.113515866	0.482573072
15.21692073	0.366343506	15.60333019	0.21644205	0.099700159	0.375211615
15.1029993	0.329360907	15.59235311	0.224590516	0.049069464	0.564678047
15.24060929	0.376078551	15.6024519	0.215351003	0.101896794	0.412857434
15.23290581	0.375030162	15.6095291	0.214993064	0.108835725	0.443961002
15.25426557	0.378005656	15.62372348	0.211919498	0.147602156	0.410604965
15.23508647	0.375642935	15.61742541	0.215576942	0.140077867	0.464229087
15.26575316	0.37664405	15.61933726	0.216149665	0.11384135	0.356131086
15.00254206	0.29957235	15.58026939	0.235585597	0.05313497	0.679165292
15.29773002	0.321610046	15.63740401	0.207296019	0.266990695	0.416566377
15.23469901	0.306588566	15.61290318	0.205693894	0.198173239	0.548140065
15.29332916	0.330401585	15.62813912	0.195439972	0.271403786	0.498665631
15.29796895	0.329036726	15.63661457	0.192011423	0.309065742	0.510398121
15.2684169	0.312718562	15.63747501	0.201170197	0.306801426	0.542544126
15.25394092	0.311010533	15.62692721	0.190322765	0.275218337	0.551601898
15.25321981	0.314072547	15.60567318	0.191232682	0.215507234	0.513000182
15.24687023	0.310658677	15.61162965	0.191273407	0.21534699	0.524320604
15.2630798	0.316884137	15.60469311	0.191119466	0.208154634	0.480678885
15.08142407	0.263741726	15.58797998	0.20530399	0.107932772	0.688154669
15.23676909	0.320512925	15.60620981	0.191318563	0.20825013	0.534235049
15.24917208	0.322460878	15.59659268	0.19165875	0.190549709	0.504163125
15.18968313	0.301920036	15.59186016	0.196924441	0.135059702	0.600274756
15.23302231	0.324261023	15.60415334	0.189850553	0.193952262	0.552397773
15.23924537	0.322542321	15.60017431	0.191864074	0.185509823	0.521543698
15.22855173	0.32091491	15.60196067	0.192716372	0.194932772	0.564839639
15.22711274	0.316540954	15.6097315	0.190415979	0.224442146	0.562509644
15.10763049	0.27722329	15.60242575	0.203208545	0.107691782	0.696425302
15.24193457	0.320518216	15.61682464	0.190742871	0.149732999	0.558723389
15.24775501	0.323013078	15.61919629	0.188669163	0.156546371	0.553277543
15.23923838	0.319860748	15.61649527	0.190638023	0.143290274	0.552955267
15.22904113	0.313759558	15.62378206	0.189237869	0.198123642	0.556637535
15.24038204	0.316038203	15.63727612	0.188783735	0.204221582	0.532984152
15.22972542	0.313201777	15.63045302	0.186453123	0.191642645	0.544952642
15.23592376	0.318562916	15.62423953	0.188703278	0.188951214	0.538190099
15.09372483	0.261222787	15.60530626	0.201373272	0.077870623	0.675301996
15.27312279	0.299119885	15.62970356	0.185186672	0.191389866	0.498426471
15.18032193	0.267055899	15.62693684	0.194885684	0.113371082	0.630536318
15.28667879	0.298492524	15.64349484	0.185612097	0.190228125	0.490805026
15.2318565	0.336678886	15.62607228	0.193399624	0.206741927	0.558941532
15.22975432	0.337633042	15.62562883	0.193048077	0.182340001	0.547946824
15.20124992	0.320564452	15.62256387	0.197416149	0.161607663	0.56634407
15.24269358	0.333477584	15.63671231	0.19330923	0.161862114	0.490041202
15.26449334	0.341072859	15.63931721	0.192491959	0.176835507	0.451386744
15.09424166	0.29083847	15.61898638	0.206699798	0.112346636	0.669622327
15.23089781	0.342091005	15.63341462	0.193740553	0.214869822	0.549657175
15.21618798	0.335993335	15.62290499	0.195927004	0.198660625	0.557217159
15.21212047	0.331680567	15.6332368	0.192505329	0.202859251	0.554829177
15.18521168	0.318210758	15.63406722	0.193901334	0.130671243	0.552180224
15.2435299	0.34412607	15.6330915	0.190628511	0.185130912	0.496487775
15.01952949	0.261858011	15.61277236	0.211548209	0.10058242	0.708591797
15.283718	0.31592905	15.6597793	0.184906132	0.268136646	0.461697868
15.24692445	0.304314301	15.64492314	0.192467997	0.241905922	0.548908345
15.28504041	0.318776316	15.64751051	0.189666512	0.315382998	0.507499927
15.27359836	0.314863404	15.65000529	0.189983814	0.293863872	0.514263962
15.29047586	0.318235738	15.6472231	0.187504501	0.290871783	0.466316224
15.22975438	0.304374023	15.62720981	0.198388621	0.223097569	0.592809995
15.28306861	0.319263067	15.63342608	0.19260315	0.29855404	0.519776418
15.22746403	0.302007928	15.63265695	0.200836798	0.233627258	0.594152857
15.2810392	0.320904646	15.64041709	0.194494158	0.322069464	0.552658804
15.28447915	0.318907766	15.64247487	0.193954658	0.312771463	0.521008022
15.26828962	0.319008755	15.62662412	0.198522299	0.276259104	0.560797559
15.18717977	0.359831175	15.60935179	0.207742722	0.260096619	0.636236461
15.1700962	0.355781731	15.60169817	0.206041734	0.1948389	0.639900885
15.17507477	0.356318094	15.60987493	0.203535745	0.221787546	0.639235074
15.16636539	0.346294458	15.61230465	0.205075179	0.226704215	0.628870277
15.17174403	0.347648902	15.60016099	0.204322674	0.217793234	0.61590633
15.1759121	0.347493964	15.60859269	0.204379282	0.204023501	0.606268272
15.19457976	0.352704433	15.62431272	0.205257456	0.254288138	0.594075234
15.1977854	0.351955692	15.62788056	0.206897747	0.25343885	0.577309625
15.1894421	0.352022387	15.62185941	0.20566474	0.236426283	0.609953286
15.20321751	0.354505715	15.63281975	0.205123467	0.276111438	0.600258225
15.19658733	0.352321448	15.63280317	0.204061088	0.265420304	0.609425117
15.19509117	0.351575542	15.6295854	0.207930179	0.243693648	0.610409821
15.20006735	0.351515213	15.6323104	0.206222827	0.284721073	0.600606492
15.21807051	0.353185939	15.63488321	0.205915412	0.30731301	0.567951779
15.20540108	0.347763686	15.63075363	0.208663669	0.269999807	0.564044309
15.20600926	0.351502003	15.62829901	0.21060215	0.264292543	0.562888903
15.22125006	0.35376134	15.63221059	0.207930559	0.26529035	0.523895902
15.19048667	0.342779038	15.62347888	0.21499859	0.232419792	0.565120618
15.21450245	0.347088865	15.64464113	0.208667187	0.275590294	0.528131235
15.2376734	0.355328023	15.63733245	0.209503034	0.251588496	0.484181472
14.98879183	0.27512961	15.60802426	0.231598019	0.146536704	0.736341788
