,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
mu0,0.035568627133838994,0.049188540047638354,0.05517457127282179,0.056889575863318276,0.05937245304585455,0.0629232677475707,0.06438557176279303,0.0653997545124616,0.06732635226937023,0.06856488219733753,0.07074128982029458,0.07415381387873368,0.07765539942799149,0.08089903394251562,0.08507731107426057,0.08960311151198697,0.09332712094837149,0.09698347134284113,0.10109924605770114,0.10486790963037843,0.10884530922793437,0.11308874589275728,0.11607279618394387,0.11932995358687468,0.12318437304589766,0.12698029559844964,0.12963549337157038,0.1327425900642084,0.13540397227524376,0.1381087530829357,0.13988467301021276,0.141712407544111,0.14306139879861932,0.14505988532380718,0.14741352061921645,0.14962939933430103,0.15192084827736585,0.15362063863257425,0.15576711554498152,0.15791180032503618,0.1601843946227331,0.1629733624118812,0.16573666193707165,0.16814894854437185,0.17097998483674146,0.17486256984397533,0.17977383386512624,0.1842561381952287,0.18863247571379108,0.19298059095314887,0.19884664938967794,0.20403642674230446,0.21097484939892455,0.21745522866604364,0.22509718043767707,0.23325576490393196,0.24107490034772552,0.24862855409111298,0.2564231706309441,0.2648609851250028,0.2737111125310942,0.28249649901218,0.29104874039922984,0.29922957665946104,0.30667453756108304,0.31374317335525204,0.32087463998507515,0.3287830611594357,0.33737719881157757,0.3443712348485426,0.35122576749997314,0.357797449408969,0.3642038540162752,0.3712597469428919,0.37851524104274825,0.384840934189805,0.39115943450415624,0.39755222549965274,0.40351895522375997,0.4085231967151668,0.41309720442684583,0.4167443038006651,0.4202222605819298,0.4235607902758675,0.42694402771073214,0.4292583331410085,0.43168795599404886,0.4325031674193659,0.43134994816195005,0.4299250375489701,0.42625044375227183,0.42111585232897486,0.4133010205308446,0.399967151424827,0.3842751574889952,0.3635244392886805,0.33648513816653086,0.30524768278743275,0.264845171734337,0.22199469384228074
sigma0,0.014850244540322261,0.01824389042614232,0.017113048581753238,0.015707298173493773,0.014402320666498145,0.013090947181309393,0.01268925316405518,0.012166510640926904,0.011100789503148953,0.010792036592392296,0.010784195656141533,0.010591242573938042,0.01029969897669084,0.010239615118908354,0.010422643576949206,0.010567080538370934,0.010292821163410498,0.010136980005823944,0.010104403823798291,0.009926708682544302,0.010100045048623572,0.010116769401721718,0.010323866778342008,0.010445331489363462,0.010589882570671538,0.010314351474313605,0.010316471979694408,0.010296782701579344,0.010135192437096954,0.010274566431771928,0.010247703291689447,0.010334560543710283,0.010326056941341106,0.01032332187074675,0.010229560386634563,0.010183726884731579,0.010161989418609916,0.010190598653063303,0.010314373685628004,0.010435026250421642,0.010587197900292701,0.010701609158913973,0.010830055095888858,0.010856486127218646,0.010704528644351001,0.010592367847890716,0.010650970353646354,0.010643013013904275,0.010782212709144234,0.01087947513534967,0.011110915708121121,0.011274157400690744,0.011699671493924452,0.011846659587205483,0.012208889956274243,0.012495060211730481,0.01284696387207477,0.013174780624396058,0.01361863336990714,0.014250159790701341,0.014658987713788894,0.015037449173656826,0.015584305283651212,0.016084565459559733,0.016701016810341897,0.01729668140690662,0.017786885127734124,0.018321441581586,0.019056475340555757,0.019760795159049643,0.02027346476648569,0.02084379917973371,0.02137445055641696,0.02195406289060753,0.022536399340786734,0.023182342963923637,0.024271132391282674,0.02476256998693537,0.025455277922016566,0.026336853325174086,0.02739642025139343,0.02805507851679279,0.02888469685818873,0.0297568576891561,0.03059772781072593,0.03138828002824426,0.03184448789922732,0.03220449816969635,0.03315084027344411,0.03387335789061431,0.033952994690821456,0.03404238055950398,0.03440065235522416,0.034569030862592935,0.033327805202352255,0.03285093521501215,0.030162033011316428,0.027052714450820848,0.024612592921577414,0.020019008495189693
mu1,0.2939204494759832,0.4260383758357579,0.4841450385974073,0.5146523689293416,0.5278143942216292,0.5332905141115781,0.5309714931345386,0.5260228066648153,0.5185057564359132,0.5084787309220659,0.49606556052954026,0.48410801537221904,0.47111527728855956,0.45898370064525823,0.4480083177296071,0.4375199724933827,0.4271056224785362,0.417890737102092,0.4084938190540999,0.3993156099340409,0.3905942421433243,0.3835115703056016,0.37722897562694746,0.37114200371951195,0.36560271995503646,0.36111544329729034,0.3545597460879879,0.34774420495759994,0.3424990320576255,0.3372346726182023,0.3312897518583865,0.3253143235907797,0.3200746551797698,0.31433069124276497,0.308227486074176,0.30238158289019623,0.29628860125520623,0.29046535455274103,0.28430219657929123,0.27810647649645026,0.27132162190451237,0.26494207969533146,0.25921999616280883,0.2527693769279416,0.24610913763319778,0.23968249593207924,0.2326228499123898,0.2252886708647255,0.21908169544100697,0.21271162028004895,0.20592827131166896,0.19935408232700114,0.19331480853851712,0.18765493062945643,0.18130807869795515,0.17509181729618284,0.1702607815539719,0.16565495540050065,0.1609230122773678,0.15603931756123324,0.15166279545038033,0.14795717969843547,0.14406155694859837,0.140000306768675,0.13638333062542932,0.13297024507485697,0.1298672382374903,0.1273438791093598,0.12457206065608546,0.12120996439962292,0.1177638764053765,0.11525865384416657,0.11241499619441797,0.10938512964741645,0.10657221793208217,0.10419210878577173,0.1029964343866974,0.10156586563999546,0.09967689752723215,0.09782770253497405,0.09582351601754238,0.09419694855249099,0.09267856563816372,0.09120830001345893,0.09017307603209421,0.0890493801503339,0.08742509075376166,0.08623023630197603,0.08479799678699468,0.0831748452166882,0.08145670529748988,0.08058601051145232,0.07904761852327179,0.07640457588660107,0.07360477615493276,0.07162902013970994,0.06713813628072444,0.06044730651507465,0.05207135373415908,0.04296660524649853
sigma1,0.03133768175242351,0.03492443454070191,0.0340782061572053,0.03197121615472043,0.029948997787408855,0.028422024683998456,0.027323315640057154,0.026103155620481284,0.024905145833846228,0.0236151220526306,0.0223264750975856,0.021101526648096468,0.01977609069301696,0.01887253957628424,0.018142095943372915,0.0173876769099761,0.01670202204525201,0.015897361833364276,0.015008185192915741,0.014180782156577715,0.013393325256506465,0.01276906377317387,0.01241728449415467,0.012071231565126413,0.011726780962806254,0.011781384123988116,0.011620873753093938,0.011524456086090146,0.011146801857006627,0.010889389845672252,0.010998804233465454,0.010916062819155945,0.010910337441829855,0.010909620870112702,0.010662275843045162,0.010554722261381204,0.010309562520616496,0.010230916784732603,0.010226409998848121,0.01022511771910727,0.010155593938406161,0.010070303065370866,0.00999849169075669,0.010062219014313565,0.010059340329800997,0.010027774351336647,0.009971134346530415,0.00989838006176089,0.009714123018739786,0.009717421400067419,0.00965630063882714,0.009684347513838126,0.009793101856531403,0.009830468821163079,0.010057397007806848,0.01018436958075087,0.01039709567329391,0.010497154436603385,0.010425227391069655,0.010521524929427657,0.010584185426318428,0.01070279801904219,0.010919227298981754,0.010975308034315985,0.01091955780774126,0.01086920304435221,0.01082687981705521,0.010726135706748645,0.010717015268484786,0.010732529273469382,0.010756400913890383,0.010798647731708655,0.01078894803867948,0.010958994976395495,0.010884740573841208,0.011116745346376331,0.011209485200430106,0.01120256651646386,0.011184900091588266,0.011131483132524983,0.011340130470032336,0.011171836651828752,0.011067509682143645,0.011145582280087845,0.010967528099987989,0.01091439723933851,0.010837240192635697,0.010799753786876958,0.010702188755652518,0.010344940748349464,0.01019890103218018,0.010215845570817056,0.010129176725174185,0.009960779345107315,0.009653641527773833,0.009495237803067736,0.009222956742911678,0.008586238595264032,0.009512710868162336,0.008510583729663153
p00,0.04166534439601768,0.0578485720941477,0.07219931651787306,0.08077047065068217,0.08837948137854028,0.09169517604501767,0.09639558670005897,0.10010433566019489,0.10369282175171196,0.106721146901071,0.10941333401140142,0.11109975416689821,0.11329383664712615,0.11549552449503583,0.11671209576000392,0.1175966696859116,0.11784014968778836,0.11735635251936866,0.11675226435922242,0.1163137024908619,0.11542932911002715,0.11417295756839049,0.11276629856752185,0.1115711947220427,0.11066473392720284,0.1099045198636541,0.10902780749837625,0.10895711190293968,0.10806133040808971,0.1074420604860268,0.10571036056346045,0.10485120359390687,0.10445248037465343,0.10428039294359578,0.10423869385035876,0.10409787726144946,0.10356820090100474,0.10305523966094418,0.10225020848346482,0.10169819465649602,0.10125788912415988,0.10085999307927278,0.10085582523655831,0.10066685411700514,0.10082578784189468,0.1005412757574887,0.0998408427160578,0.09925742066833732,0.09872485634960734,0.0979623404192377,0.09730009265016132,0.09691763060457083,0.0957950797150604,0.09428808263267066,0.0930144301465607,0.091770240063255,0.09107340656585713,0.09033219174483317,0.0896415164195984,0.08903146875871472,0.08822173592664566,0.08709025976846525,0.08615907823276955,0.08494618368160756,0.083796072036487,0.08268759934274092,0.08196681446697529,0.08115509679476407,0.08036140854651964,0.07957507262939954,0.07860237873706306,0.07766420734511231,0.07636190008456453,0.0745776425313773,0.07310049722356164,0.07202091456346688,0.07181860978860728,0.07067829985897124,0.06928707099193311,0.0684442095788689,0.06720260216135569,0.06644011907606145,0.06518912681989042,0.06353733689400812,0.061752765330638365,0.060731076742850776,0.059432839029325224,0.057197056396856426,0.055456399767742214,0.05408549377387236,0.05276734612162643,0.051743854094920466,0.05021150669504399,0.04886018441837282,0.0461671593756444,0.044518039559676266,0.04343641326456557,0.03950065877841682,0.03695027962748555,0.030726385333952815
p11,0.017677844413469142,0.024045862595596344,0.028985659252239428,0.03007375922953422,0.032604309152813926,0.035464179067470326,0.03842687422033164,0.04202204151346774,0.04475967515079549,0.04816023202924162,0.05138813357234481,0.05437351903474955,0.0571989993639914,0.05982727277436263,0.06171309643709246,0.06356286114887548,0.06578672117188565,0.0678384849514791,0.06957572353402229,0.07076133940351147,0.07172002552943643,0.07225467594043157,0.07243560413529557,0.0731575641344124,0.07388677709865105,0.0742328613775237,0.07505894687217128,0.075523936758835,0.07663071130629963,0.07721919125472906,0.07786883785631628,0.07859742635711169,0.07935574532379534,0.07999064986720243,0.08072745193814555,0.08110361193863454,0.08152018659057719,0.08234481328884596,0.08318829434771084,0.0839889301091068,0.08436798368907926,0.08486252342394976,0.08525820562167483,0.08569021260913133,0.08594662121109006,0.08631867969307952,0.0864898694255048,0.08683407398538787,0.08676998442775939,0.08694454428220774,0.08746503914322191,0.08881280929105867,0.08918110512146606,0.08906667889889514,0.08948616029935788,0.08994875472268282,0.09034977363407327,0.09057529092385046,0.09082991802258836,0.09132569968513003,0.09147217328119672,0.09161320924160807,0.09192952433119836,0.09199947748224899,0.09172618857445657,0.09162481396128438,0.09139247027057443,0.09140872577051222,0.09123767054039406,0.09092699495693872,0.0910594062744295,0.09091192441408898,0.09079585865243026,0.09085679330078264,0.09078337467914938,0.08980918925790302,0.08938429185681476,0.08927360926122269,0.08834538466398001,0.08814784324794278,0.08749561417729727,0.08660292571957119,0.08562428480833918,0.08459604768772555,0.08372624756460514,0.08213215971012067,0.08055127345296824,0.07950261441186762,0.07815369428797002,0.0767660332804651,0.07447567392387275,0.07288909461492614,0.0710298427030347,0.06913408163891704,0.06650426749546746,0.06273696586022515,0.05861559917205029,0.05433336425469734,0.04779690293101753,0.04363623661468879
