NodeID,X,Y,Area
3902007,1283.033366,1972.149661,35.5
9091500,1207.011159,1971.872208,35.5
BaseFlow,830.22957,1892.243109,33
9092500,830.22957,1386.168278,11.3
4500632_D,776.958535,1412.803795,7.5
9092600,723.6875,1306.261726,8
3900546_D,697.051983,1732.430004,141.3
3900635,697.051983,1572.6169,48.4
9093500,697.051983,1519.345865,195
9093700,404.061291,1492.710348,7310
7000596,350.790257,1865.607591,89
9094200,350.790257,1838.972074,151
7000521,377.425774,1759.065522,111
9095000,350.790257,1705.794487,321
9095500,4.52853,1492.710348,7937
7200820_D,-155.284574,320.747582,7
7202000,-102.013539,1.121373,21.7
7203839,-528.181818,374.018617,48
9096500,-104.233166,408.060777,80.4
7204721,190.977152,480.560686,6
72_ADC054,137.706117,533.831721,143
9097500,4.52853,533.831721,143
7200649,-261.826644,587.102756,37
7200580,57.799565,693.644825,35
7203904AG,-608.08837,773.551378,75
7204033AG,-421.639748,986.635517,15
9100500,-315.097679,986.635517,15
7200557,-368.368713,1066.542069,2
9101500,-315.097679,1066.542069,3
9104000,-315.097679,1146.448621,1.52
9104500,-554.817335,1226.355173,7
9105000,-102.013539,1386.168278,593
7200764_I,-128.649057,1359.53276,6
72_GJImp,-421.639748,1412.803795,0
9152500,-474.910783,1332.897243,7928
72_ADC065,-554.817335,1492.710348,450
9163500,-608.08837,1492.710348,17843
