NodeID,X,Y,Area
5104601,3680.229932,2131.962766,37.4
9010500,3680.229932,2105.327248,63.9
5100848,3680.229932,2052.056213,88.4
5103695,3680.229932,1986.35527,102
5104055,3680.229932,1812.336556,212
9019500,3680.229932,1625.887935,323
5100934,3200.790619,1599.252417,125
9021000,3547.052345,1599.252417,133
5104625,3307.332688,693.644825,2.5
5102084,3360.603723,746.91586,25
9024000,3360.603723,959.999999,27.6
5101310,3147.519584,1013.271034,19
9025000,3254.061654,1013.271034,27.8
5101309_D,3040.977514,1279.626208,32.8
9026500,3040.977514,1093.177586,32.8
9032499,3813.40752,1146.448621,7.25
5101269,3706.865449,959.999999,15.4
9032000,3626.958897,986.635517,22
5100728,3706.865449,1066.542069,10
9032500,3626.958897,1093.177586,47
5102075,3254.061654,1199.719656,11.1
5102078,3786.772002,1252.990691,12
9033500,3680.229932,1252.990691,12
51_ADC006,3547.052345,1386.168278,102.1
9034250,3387.239241,1492.710348,784
9034800,3067.613032,1386.168278,6.65
9034900,3387.239241,374.018617,6
5104603,3254.061654,374.018617,6
9035500,2961.070962,480.560686,15
9036000,2961.070962,986.635517,89.7
5101070,2961.070962,1119.813104,68.5
9037500,2961.070962,1252.990691,184
5103709,2962.180775,1309.591165,24.5
9038500,2961.070962,1452.757072,230
5102061,2907.799927,1625.887935,14
5000628,2694.715788,1918.878626,41.9
9039000,2694.715788,1892.243109,44.6
5000593,2694.715788,1812.336556,12
5000598,2694.715788,1705.794487,20
5000576,2827.893375,1652.523452,71
9040000,2774.62234,1652.523452,76
5000601,2375.089579,2105.327248,2.38
5000744,2481.631649,2078.69173,5.87
9041000,2481.631649,2025.420696,87.3
5000656,2481.631649,1945.514143,54
9041200,2268.54751,1892.243109,18
5004600,2295.183027,1945.514143,1.33
5000627,2561.538201,1838.972074,18.5
5003668,2481.631649,1826.209221,142
9041500,2481.631649,1572.6169,289
3604685,2481.631649,-425.046906,2
3604699,2508.267166,-584.86001,6
3604683SU,2028.827853,-531.588975,21
9046600,2401.725097,-291.869319,117
3604626,2721.351305,-132.056214,2.5
9047500,2614.809236,-185.327249,57.8
3600908,2561.538201,-185.327249,9
3600841,1975.556818,-158.691732,48
3601016,2108.734405,-158.691732,77
9050100,2241.911992,-158.691732,86
3604512,2401.725097,-132.056214,57
9050700,2401.725097,160.934477,328
3600829,2508.267166,187.569995,17
3600780,2401.725097,533.831721,84
3602012,2135.369923,693.644825,15
9052800,2188.640957,667.009308,15
3600649_D,2295.183027,613.738273,8
3600765,2401.725097,693.644825,105
3602002,2241.911992,720.280343,8
36_ADC017,2401.725097,773.551378,110
9053500,2401.725097,800.186895,510
9054000,2268.54751,853.45793,15
3602000,2188.640957,906.728965,12
